obsidian-git	vinzent03/obsidian-git
obsidian-clipper	jgchristopher/obsidian-clipper
templater-obsidian	silentvoid13/Templater
dataview	blacksmithgu/obsidian-dataview
obsidian-tasks-plugin	obsidian-tasks-group/obsidian-tasks
obsidian-linter	platers/obsidian-linter
advanced-canvas	developer-mike/obsidian-advanced-canvas
semantic-canvas	aarongilly/obsidian-semantic-canvas-plugin
obsidian-auto-link-title	zolrath/obsidian-auto-link-title
ytranscript	lstrzepek/obsidian-yt-transcript
settings-search	javalent/settings-search
global-search-and-replace	mahmoudfawzykhalil/obsidian-global-search-and-replace
obsidian-style-settings	obsidian-community/obsidian-style-settings
editor-width-slider	mugishomp/obsidian-editor-width-slider
optimize-canvas-connections	felixchenier/obsidian-optimize-canvas-connections
mermaid-elk	keksnet/obsidian-mermaid-elk
eleven-labs	veritas1/eleven-labs-obsidian-plugin
realclaudian	yishentu/claudian
table-editor-obsidian	tgrosinger/advanced-tables-obsidian
obsidian-minimal-settings	kepano/obsidian-minimal-settings
copilot	logancyang/obsidian-copilot
obsidian-importer	obsidianmd/obsidian-importer
obsidian-latex-suite	artisticat1/obsidian-latex-suite
file-tree-alternative	ozntel/file-tree-alternative
easy-typing-obsidian	yaozhuwa/easy-typing-obsidian
breadcrumbs	michaelpporter/breadcrumbs
code-styler	mayurankv/Obsidian-Code-Styler
pretty-properties	anareaty/pretty-properties
callout-manager	eth-p/obsidian-callout-manager
card-board	roovo/obsidian-card-board
obsidian-list-callouts	mgmeyers/obsidian-list-callouts
obsidian42-strange-new-worlds	tfthacker/obsidian42-strange-new-worlds
highlightr-plugin	chetachiezikeuzor/Highlightr-Plugin
inline-code-highlight	dimava/inline-code-highlight
codeblock-language-detector	bueckerlars/obsidian-codeblock-language-detector
extended-code-highlight	ydd0729/obsidian-extended-code-highlight
code-editor	saltyfireball/obsidian-code-editor
todoseq	scross01/obsidian-todoseq
wrangle-todos	jeel-shah/todo-wrangler
colored-tags	pfrankov/obsidian-colored-tags
waypoint	idreesinc/Waypoint
graph-banner	ras0q/obsidian-graph-banner
frontmatter-markdown-links	mnaoumov/obsidian-frontmatter-markdown-links
omnisearch	scambier/obsidian-omnisearch
folders2graph	ratibus11/folders2graph
